Latitude,Longitude,Elevation,Dataset,FilePath,ContainingFolder,Status,ImgBroken,NewImgePath
30.987438,-93.528502,30.068228,ned10m,DamageDetection\damage\-93.528502_30.987438.jpeg,DamageDetection,damaged,false,images/-93.528502_30.987438.tiff
30.988157,-93.530200,29.918272,ned10m,DamageDetection\damage\-93.5302_30.988157.jpeg,DamageDetection,damaged,false,images/-93.530200_30.988157.tiff
30.982944,-93.539510,29.212812,ned10m,DamageDetection\damage\-93.53950999999999_30.982944.jpeg,DamageDetection,damaged,false,images/-93.539510_30.982944.tiff
30.982434,-93.539521,29.003891,ned10m,DamageDetection\damage\-93.539521_30.982434.jpeg,DamageDetection,damaged,false,images/-93.539521_30.982434.tiff
30.982689,-93.540151,29.006647,ned10m,DamageDetection\damage\-93.540151_30.982689.jpeg,DamageDetection,damaged,false,images/-93.540151_30.982689.tiff
30.900207,-93.547871,26.120508,ned10m,DamageDetection\damage\-93.547871_30.900207.jpeg,DamageDetection,damaged,false,images/-93.547871_30.900207.tiff
30.900623,-93.548123,25.563583,ned10m,DamageDetection\damage\-93.548123_30.900623.jpeg,DamageDetection,damaged,false,images/-93.548123_30.900623.tiff
30.901116,-93.548193,26.161554,ned10m,DamageDetection\damage\-93.54819300000001_30.901116.jpeg,DamageDetection,damaged,false,images/-93.548193_30.901116.tiff
30.842362,-93.553566,23.139118,ned10m,DamageDetection\damage\-93.553566_30.842361999999998.jpeg,DamageDetection,damaged,false,images/-93.553566_30.842362.tiff
30.895248,-93.558326,26.552925,ned10m,DamageDetection\damage\-93.558326_30.895248.jpeg,DamageDetection,damaged,false,images/-93.558326_30.895248.tiff
30.983230,-93.559192,28.734907,ned10m,DamageDetection\damage\-93.55919200000001_30.98323.jpeg,DamageDetection,damaged,false,images/-93.559192_30.983230.tiff
30.895018,-93.559640,24.879219,ned10m,DamageDetection\damage\-93.55964_30.895018.jpeg,DamageDetection,damaged,false,images/-93.559640_30.895018.tiff
30.894917,-93.560128,24.604813,ned10m,DamageDetection\damage\-93.560128_30.894917.jpeg,DamageDetection,damaged,false,images/-93.560128_30.894917.tiff
30.766426,-93.560702,19.974409,ned10m,DamageDetection\damage\-93.560702_30.766426.jpeg,DamageDetection,damaged,false,images/-93.560702_30.766426.tiff
30.766663,-93.560879,20.616333,ned10m,DamageDetection\damage\-93.560879_30.766663.jpeg,DamageDetection,damaged,false,images/-93.560879_30.766663.tiff
30.985207,-93.561578,29.041813,ned10m,DamageDetection\damage\-93.561578_30.985207.jpeg,DamageDetection,damaged,false,images/-93.561578_30.985207.tiff
30.894492,-93.563851,25.673815,ned10m,DamageDetection\damage\-93.563851_30.894492.jpeg,DamageDetection,damaged,false,images/-93.563851_30.894492.tiff
30.976639,-93.567212,28.152803,ned10m,DamageDetection\damage\-93.567212_30.976639000000002.jpeg,DamageDetection,damaged,false,images/-93.567212_30.976639.tiff
30.695042,-93.568855,23.208084,ned10m,DamageDetection\damage\-93.568855_30.695041999999997.jpeg,DamageDetection,damaged,false,images/-93.568855_30.695042.tiff
30.973932,-93.569715,28.145893,ned10m,DamageDetection\damage\-93.569715_30.973932.jpeg,DamageDetection,damaged,false,images/-93.569715_30.973932.tiff
30.992109,-93.571101,28.000740,ned10m,DamageDetection\damage\-93.571101_30.992109000000003.jpeg,DamageDetection,damaged,false,images/-93.571101_30.992109.tiff
30.994013,-93.572587,27.691044,ned10m,DamageDetection\damage\-93.572587_30.994013.jpeg,DamageDetection,damaged,false,images/-93.572587_30.994013.tiff
30.994087,-93.573156,27.887936,ned10m,DamageDetection\damage\-93.57315600000001_30.994087.jpeg,DamageDetection,damaged,false,images/-93.573156_30.994087.tiff
30.693981,-93.573763,23.434086,ned10m,DamageDetection\damage\-93.573763_30.693981.jpeg,DamageDetection,damaged,false,images/-93.573763_30.693981.tiff
30.776458,-93.577584,21.395290,ned10m,DamageDetection\damage\-93.577584_30.776458.jpeg,DamageDetection,damaged,false,images/-93.577584_30.776458.tiff
30.779509,-93.577810,20.981262,ned10m,DamageDetection\damage\-93.57781_30.779509.jpeg,DamageDetection,damaged,false,images/-93.577810_30.779509.tiff
30.779924,-93.578271,21.267588,ned10m,DamageDetection\damage\-93.578271_30.779923999999998.jpeg,DamageDetection,damaged,false,images/-93.578271_30.779924.tiff
30.779560,-93.578405,21.520758,ned10m,DamageDetection\damage\-93.578405_30.779559999999996.jpeg,DamageDetection,damaged,false,images/-93.578405_30.779560.tiff
30.695412,-93.590110,20.264269,ned10m,DamageDetection\damage\-93.59011_30.695412.jpeg,DamageDetection,damaged,false,images/-93.590110_30.695412.tiff
30.694764,-93.590309,18.380056,ned10m,DamageDetection\damage\-93.59030899999999_30.694764000000003.jpeg,DamageDetection,damaged,false,images/-93.590309_30.694764.tiff
30.694956,-93.590598,18.378599,ned10m,DamageDetection\damage\-93.590598_30.694956.jpeg,DamageDetection,damaged,false,images/-93.590598_30.694956.tiff
30.678295,-93.593345,16.900240,ned10m,DamageDetection\damage\-93.593345_30.678295000000002.jpeg,DamageDetection,damaged,true,images/-93.593345_30.678295.tiff
30.677997,-93.594069,17.866253,ned10m,DamageDetection\damage\-93.59406899999999_30.677996999999998.jpeg,DamageDetection,damaged,true,images/-93.594069_30.677997.tiff
30.674293,-93.596494,17.993639,ned10m,DamageDetection\damage\-93.59649399999999_30.674293.jpeg,DamageDetection,damaged,true,images/-93.596494_30.674293.tiff
30.674362,-93.597636,18.442520,ned10m,DamageDetection\damage\-93.597636_30.674362.jpeg,DamageDetection,damaged,true,images/-93.597636_30.674362.tiff
30.946318,-93.598404,39.010502,ned10m,DamageDetection\damage\-93.598404_30.946317999999998.jpeg,DamageDetection,damaged,false,images/-93.598404_30.946318.tiff
30.668673,-93.599256,19.436039,ned10m,DamageDetection\damage\-93.59925600000001_30.668673.jpeg,DamageDetection,damaged,true,images/-93.599256_30.668673.tiff
30.668617,-93.599611,19.365795,ned10m,DamageDetection\damage\-93.599611_30.668616999999998.jpeg,DamageDetection,damaged,true,images/-93.599611_30.668617.tiff
30.674080,-93.599777,17.156483,ned10m,DamageDetection\damage\-93.599777_30.67408.jpeg,DamageDetection,damaged,true,images/-93.599777_30.674080.tiff
30.793330,-93.601916,22.262363,ned10m,DamageDetection\damage\-93.601916_30.793329999999997.jpeg,DamageDetection,damaged,false,images/-93.601916_30.793330.tiff
30.793664,-93.602049,22.854418,ned10m,DamageDetection\damage\-93.602049_30.793664.jpeg,DamageDetection,damaged,false,images/-93.602049_30.793664.tiff
30.023720,-93.602625,-0.294200,ned10m,DamageDetection\damage\-93.602625_30.02372.jpeg,DamageDetection,damaged,true,images/-93.602625_30.023720.tiff
30.795120,-93.602923,24.260426,ned10m,DamageDetection\damage\-93.602923_30.79512.jpeg,DamageDetection,damaged,false,images/-93.602923_30.795120.tiff
30.793818,-93.602993,22.560167,ned10m,DamageDetection\damage\-93.60299300000001_30.793817999999998.jpeg,DamageDetection,damaged,false,images/-93.602993_30.793818.tiff
30.793719,-93.604017,22.529879,ned10m,DamageDetection\damage\-93.604017_30.793719.jpeg,DamageDetection,damaged,false,images/-93.604017_30.793719.tiff
30.791791,-93.604071,22.428413,ned10m,DamageDetection\damage\-93.60407099999999_30.791790999999996.jpeg,DamageDetection,damaged,false,images/-93.604071_30.791791.tiff
30.791238,-93.604302,22.083176,ned10m,DamageDetection\damage\-93.604302_30.791238.jpeg,DamageDetection,damaged,false,images/-93.604302_30.791238.tiff
30.793328,-93.604393,22.527296,ned10m,DamageDetection\damage\-93.604393_30.793328000000002.jpeg,DamageDetection,damaged,false,images/-93.604393_30.793328.tiff
30.792952,-93.604618,22.095024,ned10m,DamageDetection\damage\-93.604618_30.792952000000003.jpeg,DamageDetection,damaged,false,images/-93.604618_30.792952.tiff
30.793685,-93.604811,22.728739,ned10m,DamageDetection\damage\-93.604811_30.793684999999996.jpeg,DamageDetection,damaged,false,images/-93.604811_30.793685.tiff
